Tin ,Tout,pin,pout,n,Uc,Gc,πc,ηc,Wc
283.8,359.3,406.5,758.1,998,291.3,0.346,1.86,0.73,26.2
283.7,357.7,384.0,723.3,995,290.6,0.356,1.88,0.76,26.4
283.4,354.3,349.1,664.0,988,288.6,0.367,1.90,0.81,26.1
283.6,349.6,526.6,922.1,929,271.3,0.394,1.75,0.75,26.2
283.4,348.9,520.8,912.1,928,271.0,0.394,1.75,0.75,26.0
283.1,344.3,558.5,927.3,861,251.4,0.371,1.66,0.72,22.8
282.8,339.0,527.4,827.4,845,246.8,0.369,1.57,0.69,20.9
282.6,331.6,459.0,716.2,827,241.5,0.382,1.56,0.78,18.8
282.6,330.9,410.5,639.1,840,245.4,0.397,1.56,0.79,19.3
282.2,334.2,384.0,595.2,844,246.5,0.397,1.55,0.72,20.7
282.1,337.0,340.9,550.2,877,256.0,0.368,1.61,0.75,20.3
283.9,364.2,273.0,554.2,1094,319.6,0.389,2.03,0.79,31.4
283.8,364.9,258.7,515.1,1096,320.2,0.392,1.99,0.76,31.9
283.6,352.6,254.0,494.1,1096,320.1,0.394,1.95,0.86,27.4
283.6,332.9,432.6,501.6,833,243.3,0.561,1.16,0.25,27.8
283.3,343.1,337.0,431.4,924,269.8,0.481,1.28,0.35,28.9
283.0,353.3,275.2,389.0,1005,293.6,0.414,1.41,0.42,29.2
282.9,370.5,202.0,324.0,1108,323.6,0.351,1.60,0.47,30.9
282.5,385.0,151.0,276.8,1214,354.4,0.278,1.83,0.52,28.6
282.6,381.7,168.0,295.8,1180,344.6,0.292,1.76,0.50,29.0
282.5,391.4,210.3,402.1,1248,364.3,0.411,1.91,0.53,45.0
282.6,384.8,233.5,423.2,1207,352.3,0.439,1.81,0.51,45.1
282.8,376.8,262.8,449.8,1159,338.6,0.469,1.71,0.50,44.3
282.9,366.3,312.0,469.0,1093,319.2,0.538,1.5,0.42,45.1
283.1,353.1,392.0,552.0,1002,292.7,0.597,1.41,0.42,42.0
283.3,331.3,487.7,622.0,914,266.8,0.686,1.28,0.43,33.1
283.5,327.1,542.2,666.3,871,254.4,0.728,1.23,0.39,31.9
283.0,362.4,337.5,512.4,1063,310.5,0.570,1.52,0.45,45.5
284.1,369.8,312.0,631.0,1071,312.6,0.322,2.02,0.74,27.8
284.1,369.5,303.7,620.2,1078,314.8,0.325,2.04,0.75,27.9
283.9,367.2,287.0,582.3,1070,312.5,0.332,2.03,0.76,27.8
283.8,363.3,270.0,548.2,1077,314.5,0.336,2.03,0.80,26.9
283.7,362.2,259.0,525.0,1081,315.7,0.339,2.03,0.81,26.7
283.6,364.3,245.8,503.0,1093,319.1,0.342,2.05,0.80,27.7
283.4,363.6,228.9,448.0,1083,316.3,0.346,1.96,0.75,27.9
283.3,364.3,215.5,406.0,1083,316.2,0.342,1.88,0.69,27.8
283.2,360.5,186.0,308.3,1049,306.3,0.294,1.66,0.57,22.9
283.3,361.7,188.5,340.4,1049,306.3,0.287,1.81,0.67,22.6
283.8,364.3,256.4,506.4,1044,304.9,0.256,1.98,0.76,20.7
283.6,359.0,229.8,448.2,1041,304.0,0.264,1.95,0.79,20.0
283.4,356.1,208.0,398.0,1042,304.2,0.271,1.91,0.79,19.8
282.8,353.2,193.0,351.2,1041,303.9,0.280,1.82,0.75,19.8
283.8,383.2,186.6,335.7,1206,352.2,0.331,1.80,0.52,33.0
283.8,379.2,202.1,347.7,1169,341.5,0.349,1.72,0.50,33.4
284.1,364.2,201.1,398.0,1070,312.5,0.438,1.98,0.76,35.3
284.1,342.8,332.0,457.0,987,288.1,0.488,1.38,0.46,28.8
284.2,331.7,389.0,496.0,921,268.8,0.553,1.28,0.43,26.4
284.2,324.8,415.0,512.0,891,260.2,0.574,1.23,0.43,23.4
284.1,339.0,403.0,533.3,948,276.8,0.592,1.32,0.43,32.6
283.9,350.2,324.7,519.5,1035,302.1,0.514,1.60,0.62,34.2
283.6,362.8,270.9,474.0,1111,324.4,0.461,1.75,0.62,36.7
283.5,373.2,239.0,409.0,1159,338.4,0.412,1.71,0.52,37.1
283.3,371.0,201.0,373.0,1222,356.9,0.381,1.86,0.62,33.5
283.3,369.0,205.0,379.0,1213,354.3,0.382,1.85,0.64,32.9
