Speedclass [m/s],Pi_tot_V [-],m_V [kg/s]
3750.0,1.7387053904691103,2.5405408503605145
3750.0,1.7813847327620516,2.3527733609015424
3750.0,1.8307909965757356,2.1524101880950903
3750.0,1.8343636935740324,1.9078683147624718
3750.0,1.8847374830300474,1.7638772181898867
3750.0,1.9015669385688223,1.7242521179897907
4500.0,2.034576592844424,3.002418627442541
4500.0,2.1230871648612037,2.6944107682814806
4500.0,2.1530340294706463,2.3889967798225205
4500.0,2.166873905943223,2.1571979725139747
4500.0,2.1904202491150264,2.1368031441826045
5250.0,2.3438407063069793,3.742205241816729
5250.0,2.4774938432165388,3.3898157168357024
5250.0,2.5530162924333863,3.0747327796826474
5250.0,2.57842010515046,2.83682575506798
5250.0,2.562232579176545,2.75094840870263
6000.0,2.7654304877940907,4.5961605054572106
6000.0,2.937139452916907,4.342479551931009
6000.0,2.9729791115628106,4.1568982609711025
6000.0,3.0651931091430904,3.8663622495440095
6000.0,3.110000839579527,3.7164854874237414
6000.0,3.1064924562749283,3.676035712338229
6750.0,3.1054634270875154,5.850392638071883
6750.0,3.3260424309612056,5.639000985972105
6750.0,3.5151677989146903,5.405958621554744
6750.0,3.624451460816523,5.187527339506772
6750.0,3.707687627077645,4.9721036334684445
6750.0,3.794888348391319,4.6789951699383066
6750.0,3.814988129658971,4.579291242959947
7125.0,3.4619833465160785,6.294805469566523
7125.0,3.6664032086486986,6.134537664219294
7125.0,3.9217909553646413,5.916342833528437
7125.0,4.041367501038405,5.722807068095283
7125.0,4.13204835574346,5.5193968749003055
7125.0,4.216881336058835,5.202933468119997
7125.0,4.235767363731757,5.076963719789742
7125.0,4.280950198053925,4.986510588244178
7500.0,3.830033624501977,6.824559871300722
7500.0,4.0513340105437186,6.733381676877235
7500.0,4.37506991120695,6.49025776618706
7500.0,4.539988437687695,6.178704596782717
7500.0,4.630856361085801,5.987223412517894
7500.0,4.719695086841224,5.764026359130495
7500.0,4.742934797616767,5.595917337208695
7875.0,4.203117865122218,7.323049964774283
7875.0,4.431485805154936,7.2551528081700205
7875.0,4.814415274631273,7.0803394818921
7875.0,4.980422898732433,6.87715307484082
7875.0,5.153058015991611,6.619932509684126
7875.0,5.221454814780018,6.360469171899682
7875.0,5.239901527960206,6.178934807925245
8250.0,4.779584261761488,7.671582764520043
8250.0,5.077868413837739,7.5778296980672115
8250.0,5.3386208280340135,7.495316720823558
8250.0,5.4975865552047365,7.332728794117247
8250.0,5.653289379627393,7.190987845869745
8250.0,5.719558059422598,7.0342231806411855
8250.0,5.76128973970552,7.017116121598847
8550.0,5.021903510588389,7.7768614930074405
8550.0,5.374774612296492,7.74171206460416
8550.0,5.65773888515339,7.697713424777386
8550.0,5.881208363688343,7.671868303943541
8550.0,6.070596476126509,7.62311635746988
